Gene,HCs_spec,Macula.SCs_spec,Crista.SCs_spec
meis2a_srrm4,1,0.986031746,0.986031746
gbx2_srrm4,1,1,1
srrm4_tspan18b,1,0.997460317,0.997460317
chgb_srrm4,1,0.998730159,0.998730159
dtnbp1a_srrm4,0.983606557,0.947936508,0.947936508
lmo4b_srrm4,0.950819672,0.911111111,0.911111111
gad2_srrm4,1,0.995555556,0.995555556
kctd15a_srrm4,1,0.995555556,0.995555556
dtnbp1b_srrm4,1,0.998730159,0.998730159
prdm13_srrm4,1,1,1
rims2a_srrm4,0.967213115,0.815238095,0.815238095
kcnab1b_srrm4,0.991803279,0.997460317,0.991803279
slc18a3a_srrm4,1,0.999365079,0.999365079
gbx2_meis2a,1,1,1
meis2a_tspan18b,1,1,1
chgb_meis2a,1,1,1
dtnbp1a_meis2a,1,0.993650794,0.993650794
lmo4b_meis2a,1,0.991111111,0.991111111
gad2_meis2a,1,0.998730159,0.998730159
kctd15a_meis2a,1,0.998095238,0.998095238
dtnbp1b_meis2a,1,1,1
meis2a_prdm13,1,1,1
meis2a_rims2a,1,0.986031746,0.986031746
kcnab1b_meis2a,1,0.998730159,0.998730159
meis2a_slc18a3a,1,1,1
gbx2_tspan18b,1,1,1
chgb_gbx2,1,1,1
dtnbp1a_gbx2,1,1,1
gbx2_lmo4b,1,1,1
gad2_gbx2,1,1,1
gbx2_kctd15a,1,1,1
dtnbp1b_gbx2,1,1,1
gbx2_prdm13,1,1,1
gbx2_rims2a,1,1,1
gbx2_kcnab1b,1,1,1
gbx2_slc18a3a,1,1,1
chgb_tspan18b,1,1,1
dtnbp1a_tspan18b,0.991304348,0.991304348,0.999365079
lmo4b_tspan18b,0.973913043,0.973913043,0.999365079
gad2_tspan18b,1,1,1
kctd15a_tspan18b,1,1,1
dtnbp1b_tspan18b,1,1,1
prdm13_tspan18b,1,1,1
rims2a_tspan18b,0.991304348,0.991304348,0.998730159
kcnab1b_tspan18b,1,1,1
slc18a3a_tspan18b,1,1,1
chgb_dtnbp1a,1,0.999365079,0.999365079
chgb_lmo4b,1,1,1
chgb_gad2,1,1,1
chgb_kctd15a,1,1,1
chgb_dtnbp1b,1,1,1
chgb_prdm13,1,1,1
chgb_rims2a,1,0.999365079,0.999365079
chgb_kcnab1b,1,1,1
chgb_slc18a3a,1,1,1
dtnbp1a_lmo4b,0.991803279,0.974603175,0.974603175
dtnbp1a_gad2,1,0.996825397,0.996825397
dtnbp1a_kctd15a,0.991803279,0.999365079,0.991803279
dtnbp1a_dtnbp1b,1,1,1
dtnbp1a_prdm13,1,1,1
dtnbp1a_rims2a,0.982608696,0.960634921,0.960634921
dtnbp1a_kcnab1b,1,0.998730159,0.998730159
dtnbp1a_slc18a3a,1,1,1
gad2_lmo4b,0.991304348,0.991304348,0.993015873
kctd15a_lmo4b,1,0.998730159,0.998730159
dtnbp1b_lmo4b,1,0.999365079,0.999365079
lmo4b_prdm13,1,1,1
lmo4b_rims2a,0.975409836,0.924444444,0.924444444
kcnab1b_lmo4b,0.991304348,0.991304348,0.991803279
lmo4b_slc18a3a,1,1,1
gad2_kctd15a,1,0.999365079,0.999365079
dtnbp1b_gad2,1,1,1
gad2_prdm13,1,1,1
gad2_rims2a,1,0.994920635,0.994920635
gad2_kcnab1b,1,0.999365079,0.999365079
gad2_slc18a3a,1,1,1
dtnbp1b_kctd15a,1,1,1
kctd15a_prdm13,1,1,1
kctd15a_rims2a,1,0.992380952,0.992380952
kcnab1b_kctd15a,1,1,1
kctd15a_slc18a3a,1,1,1
dtnbp1b_prdm13,1,1,1
dtnbp1b_rims2a,1,1,1
dtnbp1b_kcnab1b,1,1,1
dtnbp1b_slc18a3a,1,1,1
prdm13_rims2a,1,1,1
kcnab1b_prdm13,1,1,1
prdm13_slc18a3a,1,1,1
kcnab1b_rims2a,0.991803279,0.996825397,0.991803279
rims2a_slc18a3a,1,0.999365079,0.999365079
kcnab1b_slc18a3a,1,1,1
gnb3a_vsx1,1,1,1
pcp4l1_vsx1,1,1,1
bhlhe23_vsx1,1,1,1
bcl2l10_vsx1,1,1,1
tmem178b_vsx1,1,1,1
foxo4_vsx1,1,1,1
hunk_vsx1,1,1,1
si:ch211-260e23.9_vsx1,1,1,1
nol4la_vsx1,1,1,1
tp53inp1_vsx1,1,1,1
neurod4_vsx1,1,1,1
chn1_vsx1,1,1,1
calb2b_vsx1,1,1,1
crybb1_vsx1,1,1,1
cadm3_vsx1,1,1,1
crygm2d17_vsx1,1,1,1
stx3a_vsx1,1,1,1
chst1_vsx1,1,1,1
crygn2_vsx1,1,1,1
cryba1l1_vsx1,1,1,1
cryba4_vsx1,1,1,1
ddah2_vsx1,1,1,1
crygm2d13_vsx1,1,1,1
rorab_vsx1,1,1,1
gnb3a_pcp4l1,1,1,1
bhlhe23_gnb3a,1,1,1
bcl2l10_gnb3a,1,1,1
gnb3a_tmem178b,1,1,1
foxo4_gnb3a,1,1,1
gnb3a_hunk,1,1,1
gnb3a_si:ch211-260e23.9,1,1,1
gnb3a_nol4la,1,1,1
gnb3a_tp53inp1,1,1,1
gnb3a_neurod4,1,1,1
chn1_gnb3a,1,1,1
calb2b_gnb3a,1,1,1
crybb1_gnb3a,1,1,1
cadm3_gnb3a,1,1,1
crygm2d17_gnb3a,1,1,1
gnb3a_stx3a,1,1,1
chst1_gnb3a,1,1,1
crygn2_gnb3a,1,1,1
cryba1l1_gnb3a,1,1,1
cryba4_gnb3a,1,1,1
ddah2_gnb3a,1,1,1
crygm2d13_gnb3a,1,1,1
gnb3a_rorab,1,1,1
bhlhe23_pcp4l1,1,1,1
bcl2l10_pcp4l1,1,1,1
pcp4l1_tmem178b,1,1,1
foxo4_pcp4l1,1,1,1
hunk_pcp4l1,1,1,1
pcp4l1_si:ch211-260e23.9,1,1,1
nol4la_pcp4l1,1,1,1
pcp4l1_tp53inp1,1,1,1
neurod4_pcp4l1,1,1,1
chn1_pcp4l1,1,1,1
calb2b_pcp4l1,1,1,1
crybb1_pcp4l1,1,1,1
cadm3_pcp4l1,1,1,1
crygm2d17_pcp4l1,1,1,1
pcp4l1_stx3a,1,1,1
chst1_pcp4l1,1,1,1
crygn2_pcp4l1,1,1,1
cryba1l1_pcp4l1,1,1,1
cryba4_pcp4l1,1,1,1
ddah2_pcp4l1,1,1,1
crygm2d13_pcp4l1,1,1,1
pcp4l1_rorab,1,1,1
bcl2l10_bhlhe23,1,1,1
bhlhe23_tmem178b,1,1,1
bhlhe23_foxo4,1,1,1
bhlhe23_hunk,1,1,1
bhlhe23_si:ch211-260e23.9,1,1,1
bhlhe23_nol4la,1,1,1
bhlhe23_tp53inp1,1,1,1
bhlhe23_neurod4,1,1,1
bhlhe23_chn1,1,1,1
bhlhe23_calb2b,1,1,1
bhlhe23_crybb1,1,1,1
bhlhe23_cadm3,1,1,1
bhlhe23_crygm2d17,1,1,1
bhlhe23_stx3a,1,1,1
bhlhe23_chst1,1,1,1
bhlhe23_crygn2,1,1,1
bhlhe23_cryba1l1,1,1,1
bhlhe23_cryba4,1,1,1
bhlhe23_ddah2,1,1,1
bhlhe23_crygm2d13,1,1,1
bhlhe23_rorab,1,1,1
bcl2l10_tmem178b,0.975409836,0.841269841,0.841269841
bcl2l10_foxo4,0.965217391,0.957460317,0.957460317
bcl2l10_hunk,0.991803279,1,0.991803279
bcl2l10_si:ch211-260e23.9,0.991803279,0.991746032,0.991746032
bcl2l10_nol4la,1,0.998095238,0.998095238
bcl2l10_tp53inp1,1,0.953015873,0.953015873
bcl2l10_neurod4,1,1,1
bcl2l10_chn1,0.991803279,0.972698413,0.972698413
bcl2l10_calb2b,1,0.999365079,0.999365079
bcl2l10_crybb1,1,1,1
bcl2l10_cadm3,0.991304348,0.991304348,0.998730159
bcl2l10_crygm2d17,1,1,1
bcl2l10_stx3a,0.991304348,0.976507937,0.976507937
bcl2l10_chst1,1,1,1
bcl2l10_crygn2,1,1,1
bcl2l10_cryba1l1,1,0.979047619,0.979047619
bcl2l10_cryba4,1,1,1
bcl2l10_ddah2,1,0.999365079,0.999365079
bcl2l10_crygm2d13,1,1,1
bcl2l10_rorab,0.950819672,0.93968254,0.93968254
foxo4_tmem178b,0.975409836,0.879365079,0.879365079
hunk_tmem178b,0.991803279,0.998730159,0.991803279
si:ch211-260e23.9_tmem178b,0.983606557,0.974603175,0.974603175
nol4la_tmem178b,1,0.993650794,0.993650794
tmem178b_tp53inp1,0.991803279,0.904761905,0.904761905
neurod4_tmem178b,1,1,1
chn1_tmem178b,0.991304348,0.944761905,0.944761905
calb2b_tmem178b,1,0.991746032,0.991746032
crybb1_tmem178b,1,1,1
cadm3_tmem178b,0.991304348,0.991304348,0.996190476
crygm2d17_tmem178b,1,1,1
stx3a_tmem178b,1,0.951111111,0.951111111
chst1_tmem178b,1,0.999365079,0.999365079
crygn2_tmem178b,1,1,1
cryba1l1_tmem178b,1,0.965714286,0.965714286
cryba4_tmem178b,1,1,1
ddah2_tmem178b,1,0.999365079,0.999365079
crygm2d13_tmem178b,1,1,1
rorab_tmem178b,0.991304348,0.844444444,0.844444444
foxo4_hunk,1,1,1
foxo4_si:ch211-260e23.9,0.991803279,0.993015873,0.991803279
foxo4_nol4la,1,0.998730159,0.998730159
foxo4_tp53inp1,1,0.960634921,0.960634921
foxo4_neurod4,1,1,1
chn1_foxo4,0.982608696,0.978412698,0.978412698
calb2b_foxo4,1,0.997460317,0.997460317
crybb1_foxo4,1,1,1
cadm3_foxo4,0.991304348,0.991304348,1
crygm2d17_foxo4,1,1,1
foxo4_stx3a,0.991803279,0.977142857,0.977142857
chst1_foxo4,1,1,1
crygn2_foxo4,1,1,1
cryba1l1_foxo4,1,0.992380952,0.992380952
cryba4_foxo4,1,1,1
ddah2_foxo4,1,0.999365079,0.999365079
crygm2d13_foxo4,1,1,1
foxo4_rorab,0.975409836,0.945396825,0.945396825
hunk_si:ch211-260e23.9,1,1,1
hunk_nol4la,1,1,1
hunk_tp53inp1,1,1,1
hunk_neurod4,1,1,1
chn1_hunk,1,1,1
calb2b_hunk,1,1,1
crybb1_hunk,1,1,1
cadm3_hunk,1,1,1
crygm2d17_hunk,1,1,1
hunk_stx3a,1,1,1
chst1_hunk,1,1,1
crygn2_hunk,1,1,1
cryba1l1_hunk,1,1,1
cryba4_hunk,1,1,1
ddah2_hunk,1,1,1
crygm2d13_hunk,1,1,1
hunk_rorab,1,1,1
nol4la_si:ch211-260e23.9,1,1,1
si:ch211-260e23.9_tp53inp1,0.991803279,0.993650794,0.991803279
neurod4_si:ch211-260e23.9,1,1,1
chn1_si:ch211-260e23.9,0.983606557,0.994920635,0.983606557
calb2b_si:ch211-260e23.9,1,0.999365079,0.999365079
crybb1_si:ch211-260e23.9,1,1,1
cadm3_si:ch211-260e23.9,1,0.999365079,0.999365079
crygm2d17_si:ch211-260e23.9,1,1,1
si:ch211-260e23.9_stx3a,1,0.996825397,0.996825397
chst1_si:ch211-260e23.9,1,1,1
crygn2_si:ch211-260e23.9,1,1,1
cryba1l1_si:ch211-260e23.9,1,0.999365079,0.999365079
cryba4_si:ch211-260e23.9,1,1,1
ddah2_si:ch211-260e23.9,1,1,1
crygm2d13_si:ch211-260e23.9,1,1,1
rorab_si:ch211-260e23.9,1,0.98984127,0.98984127
nol4la_tp53inp1,1,1,1
neurod4_nol4la,1,1,1
chn1_nol4la,1,1,1
calb2b_nol4la,1,1,1
crybb1_nol4la,1,1,1
cadm3_nol4la,1,1,1
crygm2d17_nol4la,1,1,1
nol4la_stx3a,1,0.999365079,0.999365079
chst1_nol4la,1,1,1
crygn2_nol4la,1,1,1
cryba1l1_nol4la,1,1,1
cryba4_nol4la,1,1,1
ddah2_nol4la,1,1,1
crygm2d13_nol4la,1,1,1
nol4la_rorab,1,0.998730159,0.998730159
neurod4_tp53inp1,1,1,1
chn1_tp53inp1,1,0.980952381,0.980952381
calb2b_tp53inp1,1,0.999365079,0.999365079
crybb1_tp53inp1,1,1,1
cadm3_tp53inp1,1,0.998730159,0.998730159
crygm2d17_tp53inp1,1,1,1
stx3a_tp53inp1,1,0.983492063,0.983492063
chst1_tp53inp1,1,1,1
crygn2_tp53inp1,1,1,1
cryba1l1_tp53inp1,1,0.989206349,0.989206349
cryba4_tp53inp1,1,1,1
ddah2_tp53inp1,1,1,1
crygm2d13_tp53inp1,1,1,1
rorab_tp53inp1,1,0.965714286,0.965714286
chn1_neurod4,1,1,1
calb2b_neurod4,1,1,1
crybb1_neurod4,1,1,1
cadm3_neurod4,1,1,1
crygm2d17_neurod4,1,1,1
neurod4_stx3a,1,1,1
chst1_neurod4,1,1,1
crygn2_neurod4,1,1,1
cryba1l1_neurod4,1,1,1
cryba4_neurod4,1,1,1
ddah2_neurod4,1,1,1
crygm2d13_neurod4,1,1,1
neurod4_rorab,1,1,1
calb2b_chn1,1,0.999365079,0.999365079
chn1_crybb1,1,1,1
cadm3_chn1,1,0.998730159,0.998730159
chn1_crygm2d17,1,1,1
chn1_stx3a,0.991304348,0.986666667,0.986666667
chn1_chst1,1,1,1
chn1_crygn2,1,1,1
chn1_cryba1l1,1,0.995555556,0.995555556
chn1_cryba4,1,1,1
chn1_ddah2,1,1,1
chn1_crygm2d13,1,1,1
chn1_rorab,0.991803279,0.975873016,0.975873016
calb2b_crybb1,1,1,1
cadm3_calb2b,1,1,1
calb2b_crygm2d17,1,1,1
calb2b_stx3a,1,1,1
calb2b_chst1,1,1,1
calb2b_crygn2,1,1,1
calb2b_cryba1l1,1,0.998730159,0.998730159
calb2b_cryba4,1,1,1
calb2b_ddah2,1,1,1
calb2b_crygm2d13,1,1,1
calb2b_rorab,0.991304348,0.991304348,0.997460317
cadm3_crybb1,1,1,1
crybb1_crygm2d17,1,1,1
crybb1_stx3a,1,1,1
chst1_crybb1,1,1,1
crybb1_crygn2,1,1,1
cryba1l1_crybb1,1,1,1
cryba4_crybb1,1,1,1
crybb1_ddah2,1,1,1
crybb1_crygm2d13,1,1,1
crybb1_rorab,1,1,1
cadm3_crygm2d17,1,1,1
cadm3_stx3a,1,0.999365079,0.999365079
cadm3_chst1,1,1,1
cadm3_crygn2,1,1,1
cadm3_cryba1l1,1,0.999365079,0.999365079
cadm3_cryba4,1,1,1
cadm3_ddah2,1,1,1
cadm3_crygm2d13,1,1,1
cadm3_rorab,0.983606557,0.998730159,0.983606557
crygm2d17_stx3a,1,1,1
chst1_crygm2d17,1,1,1
crygm2d17_crygn2,1,1,1
cryba1l1_crygm2d17,1,1,1
cryba4_crygm2d17,1,1,1
crygm2d17_ddah2,1,1,1
crygm2d13_crygm2d17,1,1,1
crygm2d17_rorab,1,1,1
chst1_stx3a,0.991803279,1,0.991803279
crygn2_stx3a,1,1,1
cryba1l1_stx3a,1,0.998095238,0.998095238
cryba4_stx3a,1,1,1
ddah2_stx3a,1,1,1
crygm2d13_stx3a,1,1,1
rorab_stx3a,0.975409836,0.980952381,0.975409836
chst1_crygn2,1,1,1
chst1_cryba1l1,1,1,1
chst1_cryba4,1,1,1
chst1_ddah2,1,1,1
chst1_crygm2d13,1,1,1
chst1_rorab,1,1,1
cryba1l1_crygn2,1,1,1
cryba4_crygn2,1,1,1
crygn2_ddah2,1,1,1
crygm2d13_crygn2,1,1,1
crygn2_rorab,1,1,1
cryba1l1_cryba4,1,1,1
cryba1l1_ddah2,1,1,1
cryba1l1_crygm2d13,1,1,1
cryba1l1_rorab,1,0.98984127,0.98984127
cryba4_ddah2,1,1,1
cryba4_crygm2d13,1,1,1
cryba4_rorab,1,1,1
crygm2d13_ddah2,1,1,1
ddah2_rorab,1,0.999365079,0.999365079
crygm2d13_rorab,1,1,1
crtac1a_ptgdsb.1,0.991304348,0.991304348,0.991803279
paics_ptgdsb.1,1,0.999365079,0.999365079
ptgdsb.1_si:dkey-102m7.3,1,1,1
dkc1_ptgdsb.1,1,0.999365079,0.999365079
ptgdsb.1_tspo,1,1,1
ptgdsb.1_rsl1d1,1,0.999365079,0.999365079
ptgdsb.1_wdr76,1,1,1
eif6_ptgdsb.1,0.991803279,0.998095238,0.991803279
prdx6_ptgdsb.1,0.991803279,1,0.991803279
ebna1bp2_ptgdsb.1,1,1,1
ptgdsb.1_si:ch211-217k17.7,1,1,1
cox17_ptgdsb.1,0.991304348,0.991304348,0.991803279
nhp2_ptgdsb.1,1,0.999365079,0.999365079
prps1a_ptgdsb.1,1,1,1
fbl_ptgdsb.1,1,1,1
gnl3_ptgdsb.1,1,0.998730159,0.998730159
phb_ptgdsb.1,1,1,1
npm1a_ptgdsb.1,1,1,1
ptgdsb.1_si:ch211-66k16.27,1,1,1
ptgdsb.1_rpl7l1,1,1,1
gar1_ptgdsb.1,1,1,1
nip7_ptgdsb.1,1,1,1
aldob_ptgdsb.1,1,1,1
metap2b_ptgdsb.1,0.991803279,0.999365079,0.991803279
crtac1a_paics,1,0.999365079,0.999365079
crtac1a_si:dkey-102m7.3,1,1,1
crtac1a_dkc1,0.991304348,0.991304348,1
crtac1a_tspo,1,1,1
crtac1a_rsl1d1,1,1,1
crtac1a_wdr76,1,1,1
crtac1a_eif6,0.991803279,1,0.991803279
crtac1a_prdx6,0.991803279,0.999365079,0.991803279
crtac1a_ebna1bp2,1,0.999365079,0.999365079
crtac1a_si:ch211-217k17.7,1,1,1
cox17_crtac1a,0.991304348,0.991304348,0.991803279
crtac1a_nhp2,1,0.998730159,0.998730159
crtac1a_prps1a,1,0.998730159,0.998730159
crtac1a_fbl,1,0.999365079,0.999365079
crtac1a_gnl3,1,1,1
crtac1a_phb,1,1,1
crtac1a_npm1a,1,1,1
crtac1a_si:ch211-66k16.27,1,1,1
crtac1a_rpl7l1,0.991304348,0.991304348,1
crtac1a_gar1,1,1,1
crtac1a_nip7,0.991803279,1,0.991803279
aldob_crtac1a,1,1,1
crtac1a_metap2b,0.983606557,0.991304348,0.983606557
paics_si:dkey-102m7.3,1,0.997460317,0.997460317
dkc1_paics,1,0.997460317,0.997460317
paics_tspo,1,0.999365079,0.999365079
paics_rsl1d1,1,0.995555556,0.995555556
paics_wdr76,1,1,1
eif6_paics,0.991304348,0.974603175,0.974603175
paics_prdx6,0.983606557,0.994920635,0.983606557
ebna1bp2_paics,1,0.996190476,0.996190476
paics_si:ch211-217k17.7,1,0.998730159,0.998730159
cox17_paics,0.991304348,0.985396825,0.985396825
nhp2_paics,1,0.998095238,0.998095238
paics_prps1a,1,0.99047619,0.99047619
fbl_paics,1,0.997460317,0.997460317
gnl3_paics,1,0.997460317,0.997460317
paics_phb,1,0.996190476,0.996190476
npm1a_paics,1,0.997460317,0.997460317
paics_si:ch211-66k16.27,1,1,1
paics_rpl7l1,1,0.998095238,0.998095238
gar1_paics,1,1,1
nip7_paics,1,0.998095238,0.998095238
aldob_paics,1,1,1
metap2b_paics,1,0.987936508,0.987936508
dkc1_si:dkey-102m7.3,1,0.999365079,0.999365079
si:dkey-102m7.3_tspo,1,1,1
rsl1d1_si:dkey-102m7.3,1,0.999365079,0.999365079
si:dkey-102m7.3_wdr76,1,1,1
eif6_si:dkey-102m7.3,0.991803279,0.996825397,0.991803279
prdx6_si:dkey-102m7.3,0.983606557,0.999365079,0.983606557
ebna1bp2_si:dkey-102m7.3,1,0.999365079,0.999365079
si:ch211-217k17.7_si:dkey-102m7.3,1,1,1
cox17_si:dkey-102m7.3,1,0.997460317,0.997460317
nhp2_si:dkey-102m7.3,1,0.999365079,0.999365079
prps1a_si:dkey-102m7.3,0.991803279,0.998095238,0.991803279
fbl_si:dkey-102m7.3,1,0.998730159,0.998730159
gnl3_si:dkey-102m7.3,1,0.998730159,0.998730159
phb_si:dkey-102m7.3,1,1,1
npm1a_si:dkey-102m7.3,0.991803279,1,0.991803279
si:ch211-66k16.27_si:dkey-102m7.3,1,1,1
rpl7l1_si:dkey-102m7.3,1,1,1
gar1_si:dkey-102m7.3,1,1,1
nip7_si:dkey-102m7.3,1,0.999365079,0.999365079
aldob_si:dkey-102m7.3,1,1,1
