Gene,DifferentiatingProgenitors_44hpf,DorsalProgenitors_24hpf,Epidermis,FloorPlate,GlialCells,HeadMesenchymeAndEpidermis,HindbrainNeurons,ImmatureNeurons,Mesendoderm_16hpf_24hpf,NeuralCrest_16hpf,NeuralCrest_24hpf_44hpf,OticAndCranialGanglia,OticVesicle,PharyngealArches,Progenitors_16hpf,Vasculature,VMP_24hpf
rps2,1,1,1,1,1,1,0.998363339,1,1,1,1,1,1,1,1,1,1
ndufb10,0.151826484,0.446254072,0.476635514,0.295081967,0.200980392,0.444117647,0.301145663,0.123119015,0.595505618,0.711009174,0.398340249,0.358974359,0.566666667,0.568027211,0.561823362,0.464285714,0.369436202
gaa,0,0.004885993,0.009345794,0.016393443,0.000980392,0,0.001636661,0,0.008988764,0.002293578,0,0.003205128,0.016666667,0,0.004558405,0,0.002967359
tbc1d16,0.001141553,0.004885993,0.009345794,0.032786885,0.003921569,0.005882353,0.027823241,0.005471956,0.035955056,0.050458716,0.004149378,0.022435897,0.004166667,0.010204082,0.013675214,0.071428571,0.00148368
cbx4,0.020547945,0.06514658,0.224299065,0,0.010784314,0.026470588,0.065466448,0.030095759,0.107865169,0.172018349,0.03526971,0.131410256,0.1625,0.108843537,0.064387464,0.035714286,0.019287834
cbx8a,0.012557078,0.053745928,0.028037383,0.098360656,0.02254902,0.035294118,0.036006547,0.023255814,0.062921348,0.059633028,0.033195021,0.105769231,0.1375,0.071428571,0.072934473,0.071428571,0.057863501
aqp8b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000569801,0,0
arhgap17b,0,0,0.018691589,0,0,0.011764706,0.001636661,0,0.024719101,0.006880734,0.006224066,0.006410256,0.045833333,0.013605442,0.002849003,0.142857143,0
si:ch211-246e12.3,0,0,0,0,0,0,0,0,0.002247191,0,0,0,0,0,0,0,0
slc5a11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grid2ipa,0,0,0,0,0,0.002941176,0,0,0,0,0,0,0,0,0,0,0
e4f1,0.005707763,0.008143322,0,0,0.010784314,0.002941176,0.011456628,0.002735978,0.024719101,0.02293578,0.008298755,0,0.0125,0.010204082,0.020512821,0,0.014836795
zgc:113333,0,0.01465798,0.177570093,0.032786885,0.002941176,0.008823529,0.001636661,0,0.024719101,0.032110092,0.014522822,0.012820513,0.0625,0.057823129,0.018803419,0.071428571,0.013353116
narfl,0.007990868,0.053745928,0.112149533,0.016393443,0.014705882,0.023529412,0.01309329,0.005471956,0.085393258,0.077981651,0.03526971,0.009615385,0.0875,0.040816327,0.062678063,0.107142857,0.043026706
AL772362.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hagh,0.00456621,0.011400651,0.439252336,0.016393443,0.002941176,0.020588235,0.068739771,0.005471956,0.078651685,0.089449541,0.039419087,0.051282051,0.166666667,0.074829932,0.049002849,0.071428571,0.013353116
fahd1,0.00456621,0.039087948,0.065420561,0.016393443,0.009803922,0.008823529,0.018003273,0.004103967,0.029213483,0.064220183,0.014522822,0.022435897,0.029166667,0.020408163,0.046153846,0,0.026706231
msrb1a,0,0.003257329,0.186915888,0.016393443,0,0.014705882,0.001636661,0,0.116853933,0.137614679,0.029045643,0.019230769,0.1,0.12585034,0.015954416,0,0.004451039
tnpo2,0.053652968,0.232899023,0.271028037,0.213114754,0.07745098,0.164705882,0.058919804,0.009575923,0.420224719,0.53440367,0.234439834,0.243589744,0.358333333,0.37414966,0.433048433,0.178571429,0.18694362
tmem104,0.015981735,0.019543974,0.046728972,0.016393443,0.004901961,0.032352941,0.021276596,0,0.042696629,0.038990826,0.006224066,0.028846154,0.095833333,0.034013605,0.021652422,0.071428571,0.010385757
si:ch211-198m1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grin2ca,0,0,0,0,0,0,0.004909984,0,0,0,0,0,0,0,0,0,0
rfx1a,0.010273973,0.013029316,0.018691589,0.032786885,0.010784314,0.017647059,0.063829787,0.031463748,0.042696629,0.018348624,0.006224066,0.032051282,0.041666667,0.040816327,0.030769231,0,0.017804154
rln3a,0,0,0,0,0,0,0,0,0.017977528,0,0,0.006410256,0.004166667,0,0.001139601,0.035714286,0
BX546473.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
il12rb2l,0.003424658,0.042345277,0.028037383,0.032786885,0.017647059,0.047058824,0.008183306,0,0.080898876,0.068807339,0.018672199,0.012820513,0.070833333,0.051020408,0.058689459,0.035714286,0.026706231
smarca4a,0.52283105,0.811074919,0.607476636,0.491803279,0.470588235,0.464705882,0.512274959,0.459644323,0.82247191,0.818807339,0.547717842,0.634615385,0.729166667,0.734693878,0.807407407,0.821428571,0.738872404
ldlra,0.00456621,0,0,0,0.001960784,0.017647059,0.003273322,0,0,0,0.008298755,0.006410256,0.020833333,0,0,0,0
