Gene,Amacrine,Bipolar,Cone,Cornea,Horizontal,Muller Glia,RGC,Rod,RPE,Microglia
inavaa,0.008378988,0.00255102,0.005257969,0,0.002854812,0.001646091,0.015043547,0,0,0
zgc:195245,0.004834032,0.004229323,0.208675649,0.00669344,0.003262643,0.006584362,0.007917656,0.004555809,0.005988024,0
AL929282.1,0.009668063,0.005370569,0.016431153,0.010709505,0.005709625,0.007407407,0.017418844,0.009111617,0.011976048,0
si:ch211-163l21.7,0,0.000201396,0,0,0,0.001646091,0.000791766,0,0,0
ELAPOR1,0.000644538,0.000134264,0.001643115,0,0,0,0.000791766,0,0,0
si:ch211-163l21.10,0,6.71E-05,0,0,0,0,0,0,0,0
mapk14a,0.083145343,0.106068743,0.09102859,0.084337349,0.064845024,0.158847737,0.128266033,0.061503417,0.182634731,0.323529412
srpk1a,0.336448598,0.234559613,0.233322379,0.135207497,0.599102773,0.210699588,0.270783848,0.175398633,0.215568862,0.129411765
lhfpl5b,0.005478569,0.002819549,0.000985869,0,0.017944535,0.002469136,0.003958828,0,0.001497006,0.005882353
cpne5a,0.048340316,0.001342642,0.000328623,0.001338688,0.011011419,0.004938272,0.090261283,0.004555809,0,0
dclre1b,0.036416371,0.007720193,0.004600723,0.017402945,0.020799347,0.017283951,0.057798892,0.004555809,0.02245509,0.017647059
adora1b,0.005478569,0.000872718,0,0,0,0.001646091,0.007917656,0.002277904,0,0
zgc:110353,0,0,0.000328623,0,0,0,0.000791766,0,0,0
mmp9,0.001611344,0.000469925,0.003286231,0.005354752,0.00040783,0,0.004750594,0,0.004491018,0.105882353
ZNF335,0.027392846,0.014634801,0.040420638,0.033467202,0.021615008,0.024691358,0.037212985,0.009111617,0.028443114,0.047058824
BX324132.2,0,0,0,0.001338688,0,0,0,0,0,0.011764706
prok1,0.015146632,0.002349624,0.001314492,0,0.004486134,0.008230453,0.005542359,0.004555809,0.002994012,0
lamtor5,0.056397035,0.026047261,0.189944134,0.081659973,0.051794454,0.124279835,0.114806017,0.020501139,0.344311377,0.335294118
slc16a4,0.004834032,0.001409774,0.010515938,0.008032129,0.11949429,0.074897119,0.038004751,0.004555809,0.236526946,0
rbm15,0.129552046,0.075657895,0.110417351,0.058902276,0.122756933,0.09218107,0.168646081,0.066059226,0.055389222,0.076470588
BX324132.3,0,0,0,0.016064257,0,0,0,0,0,0
slc6a17,0.164357074,0.167427497,0.039106145,0.024096386,0.044453507,0.069958848,0.448139351,0.059225513,0.139221557,0.047058824
CR450738.1,0,0.000268528,0,0.001338688,0,0,0.003958828,0,0,0
kcnc4,0.002255881,0.001006982,0.000328623,0.001338688,0,0,0.004750594,0,0.001497006,0
hspa1b,0.001611344,0.000537057,0.000328623,0.001338688,0.002854812,0,0.003167063,0,0,0
ahcyl1,0.116339027,0.055182599,0.089385475,0.041499331,0.272430669,0.060082305,0.29216152,0.027334852,0.443113772,0.170588235
nfyal,0.009023526,0.007653061,0.012159054,0.008032129,0.008156607,0.016460905,0.013460016,0.004555809,0.011976048,0
ngrn,0.037383178,0.025510204,0.044364114,0.095046854,0.034257749,0.027160494,0.05621536,0.013667426,0.062874251,0.088235294
