Gene,Amacrine,Bipolar,Cone,Cornea,Horizontal,Muller Glia,RGC,Rod,RPE,Microglia
ptpn12,0.001933613,0.004833512,0.003286231,0.002677376,0.001631321,0.002469136,0.003167063,0.002277904,0.00748503,0
phtf2,0.002255881,0.001208378,0.000657246,0.001338688,0.001631321,0.003292181,0.003167063,0,0.001497006,0
phtf2.1,0.01321302,0.007183136,0.003286231,0.00669344,0.006117455,0.004938272,0.022961203,0.002277904,0.004491018,0.011764706
CU856344.1,0,0,0.002300361,0.001338688,0.00040783,0.008230453,0.001583531,0,0,0
si:zfos-932h1.3,0.003544956,0.001476907,0.002300361,0.004016064,0.001223491,0.003292181,0.004750594,0.002277904,0.004491018,0.005882353
mansc1,0.059297454,0.017991407,0.007229708,0.009370817,0.020391517,0.016460905,0.106888361,0.006833713,0.004491018,0
lrp6,0.003867225,0.00127551,0.002300361,0.005354752,0.002446982,0.005761317,0.002375297,0,0.002994012,0
dusp16,0.004189494,0.007988722,0.069996714,0.033467202,0.024469821,0.04691358,0.014251781,0.022779043,0.094311377,0.176470588
crebl2,0.089912987,0.038600967,0.143608281,0.072289157,0.039559543,0.070781893,0.118764846,0.041002278,0.136227545,0.070588235
gpr19,0.038349984,0.017387218,0.029576076,0.021419009,0.016313214,0.047736626,0.065716548,0.01594533,0.019461078,0.017647059
tbk1,0.083145343,0.034640172,0.05027933,0.045515395,0.0591354,0.083950617,0.119556611,0.025056948,0.167664671,0.235294118
eps8a,0.027715114,0.016313104,0.511666119,0.018741633,0.014681892,0.032921811,0.038796516,0.293849658,0.098802395,0.011764706
ptpro,0.003222688,0.001476907,0.000985869,0.001338688,0.000815661,0,0.007917656,0,0,0
ptpro.1,0.016113439,0.009129968,0.002957608,0.002677376,0.005709625,0.008230453,0.036421219,0,0.002994012,0.005882353
RERG,0.004189494,0.000671321,0.001314492,0.179384203,0.008564437,0.003292181,0.007917656,0,0.001497006,0
si:ch73-252i11.1,0,0.000134264,0.000985869,0.008032129,0,0.006584362,0.002375297,0,0.004491018,0.035294118
CABZ01085275.1,0,0.000134264,0.000657246,0.00669344,0.00040783,0.001646091,0,0,0,0.005882353
echdc3,0.000322269,0.000134264,0,0,0,0,0,0,0,0
FO834823.1,0,0.000134264,0,0,0.00040783,0,0,0,0.001497006,0
msgn1,0.001933613,0.00093985,0.000985869,0,0.003262643,0,0.031670625,0,0.004491018,0.005882353
si:ch211-51e12.7,0.19948437,0.097005908,0.214262241,0.139223561,0.108890701,0.12345679,0.238321457,0.061503417,0.19011976,0.176470588
mrps10,0.129552046,0.044307197,0.106802498,0.175368139,0.048939641,0.098765432,0.180522565,0.027334852,0.173652695,0.276470588
tulp4a,0.036416371,0.014769066,0.026947092,0.022757697,0.029771615,0.019753086,0.057007126,0.013667426,0.043413174,0.047058824
tmem181,0.06574283,0.017857143,0.018402892,0.02811245,0.052202284,0.028806584,0.071258907,0.025056948,0.110778443,0.070588235
dynlt1,0.024814695,0.004296455,0.073282944,0.036144578,0.009380098,0.026337449,0.036421219,0.020501139,0.010479042,0.005882353
rpl18a,0.592974541,0.387419441,0.67992113,0.951807229,0.516313214,0.786831276,0.75138559,0.462414579,0.75748503,0.947058824
BX890562.1,0.004189494,0.002349624,0.0042721,0.001338688,0.002039152,0.002469136,0.003958828,0,0.005988024,0
BX890562.3,0.000322269,6.71E-05,0,0.001338688,0,0,0,0,0,0
BX890562.2,0,0,0.000657246,0,0,0,0.000791766,0,0,0
pthlha,0.006445375,0.000872718,0.0042721,0.014725569,0.001631321,0.003292181,0.001583531,0.002277904,0.001497006,0
xpot,0.03673864,0.015440387,0.049622083,0.033467202,0.021207178,0.035390947,0.053048298,0.022779043,0.077844311,0.129411765
rtcb,0.016113439,0.005370569,0.030233322,0.022757697,0.007340946,0.027160494,0.036421219,0.006833713,0.035928144,0.111764706
fbxo7,0.022236545,0.011882385,0.026618469,0.026773762,0.020391517,0.023868313,0.047505938,0.004555809,0.073353293,0.117647059
CU855889.2,0.001289075,0.00093985,0.003286231,0.004016064,0.000815661,0,0.003958828,0,0.005988024,0
ost4,0.225265872,0.092575188,0.209661518,0.240963855,0.165579119,0.221399177,0.330958036,0.077448747,0.378742515,0.411764706
agbl5,0.034805027,0.013829216,0.01610253,0.020080321,0.018352365,0.022222222,0.044338876,0.004555809,0.025449102,0.029411765
tmem214,0.097647438,0.029672395,0.125862636,0.070950469,0.025285481,0.077366255,0.13618369,0.045558087,0.359281437,0.235294118
mapre3b,0.116983564,0.057935016,0.307591193,0.06291834,0.104812398,0.144032922,0.18685669,0.075170843,0.187125749,0.011764706
dpysl5b,0.405091847,0.155612245,0.083798883,0.041499331,0.183115824,0.167078189,0.407759303,0.070615034,0.079341317,0.035294118
sobpb,0.000644538,0.005236305,0.002957608,0.048192771,0.001223491,0.018930041,0.001583531,0.002277904,0.005988024,0
si:ch211-152c2.3,0.022558814,0.017521482,0.149523497,0.068273092,0.017536705,0.671604938,0.075217736,0.031890661,0.040419162,0.017647059
crybg1b,0.00257815,0.000671321,0.002300361,0.008032129,0.000815661,0.006584362,0.015043547,0,0.013473054,0.005882353
mrap2b,0.000966806,0,0,0,0,0,0,0,0,0
ripply2,0,0,0,0,0,0,0.003167063,0,0,0
sim1b,0,0,0.000328623,0,0.00040783,0,0,0,0,0
atp23,0.018691589,0.011949517,0.058494906,0.017402945,0.028548124,0.02962963,0.036421219,0.020501139,0.073353293,0.052941176
rpap3,0.033515952,0.019065521,0.069996714,0.052208835,0.028140294,0.039506173,0.042755344,0.022779043,0.082335329,0.058823529
naga,0.02352562,0.008190118,0.020703253,0.032128514,0.033442088,0.064197531,0.040380048,0.006833713,0.252994012,0.441176471
FAM180A,0,0.000335661,0.000985869,0.129852744,0.00040783,0,0,0.002277904,0.002994012,0.005882353
mtpn,0.147276829,0.063641246,0.214590864,0.281124498,0.073001631,0.279012346,0.202692003,0.075170843,0.459580838,0.4
si:ch211-117i20.2,0.014179826,0.000805585,0.007229708,0.005354752,0.002446982,0.001646091,0.004750594,0.004555809,0.002994012,0
chrm2a,0.076377699,0.00953276,0.002957608,0.048192771,0.002039152,0.01563786,0.021377672,0.002277904,0.008982036,0
ptn,0.034482759,0.023227712,0.046993099,0.080321285,0.849102773,0.176131687,0.040380048,0.059225513,0.038922156,0.047058824
CABZ01068469.1,0.005800838,0.002886681,0.007558331,0.004016064,0.001631321,0.003292181,0.006334125,0.009111617,0.023952096,0.011764706
trim35-14,0,6.71E-05,0,0,0,0,0,0,0,0
zmp:0000000711,0.069932324,0.038869495,0.055865922,0.041499331,0.100734095,0.063374486,0.079176564,0.036446469,0.05988024,0.023529412
slc38a4,0.033193684,0.009935553,0.104502136,0.057563588,0.026101142,0.668312757,0.053840063,0.009111617,0.020958084,0.023529412
slc38a2,0.304221721,0.329350161,0.446927374,0.330655957,0.358890701,0.148971193,0.499604117,0.134396355,0.47005988,0.505882353
scaf11,0.065420561,0.02920247,0.060466645,0.077643909,0.05954323,0.042798354,0.08709422,0.025056948,0.133233533,0.111764706
arid2,0.108282307,0.04538131,0.064081499,0.072289157,0.057504078,0.090534979,0.163103721,0.031890661,0.070359281,0.117647059
CR847994.1,0.034805027,0.021146617,0.032862307,0.005354752,0.040375204,0.02962963,0.038796516,0.036446469,0.025449102,0.011764706
gas2l3,0.020302933,0.010606874,0.060138022,0.016064257,0.007340946,0.027160494,0.0253365,0.063781321,0.091317365,0.017647059
fgfr1op2,0.064453754,0.027994092,0.063095629,0.135207497,0.07137031,0.055967078,0.117181314,0.027334852,0.155688623,0.294117647
tm7sf3,0.014179826,0.006646079,0.01183043,0.022757697,0.028548124,0.023868313,0.022961203,0,0.181137725,0.052941176
med21,0.128907509,0.093850698,0.117318436,0.131191432,0.119902121,0.093004115,0.174980206,0.043280182,0.127245509,0.152941176
pmpcb,0.075088624,0.046119764,0.142951035,0.123159304,0.07177814,0.09218107,0.124307205,0.020501139,0.179640719,0.164705882
dnajc2,0.014824364,0.00443072,0.007886954,0.012048193,0.004486134,0.019753086,0.022169438,0,0.02994012,0.052941176
nudt4b,0.016435707,0.010271214,0.009530069,0.005354752,0.015089723,0.037037037,0.034837688,0.009111617,0.01497006,0
ube2nb,0.125362552,0.035982814,0.055537299,0.105756359,0.063213703,0.144032922,0.197149644,0.027334852,0.131736527,0.182352941
mrpl42,0.056397035,0.026919979,0.055537299,0.115127175,0.028548124,0.056790123,0.082343626,0.013667426,0.091317365,0.152941176
pwp1,0.072832743,0.025107411,0.053236937,0.141900937,0.030587276,0.061728395,0.098178939,0.063781321,0.077844311,0.123529412
CU571163.1,0.000644538,0.000201396,0.000328623,0.001338688,0,0,0.000791766,0,0.004491018,0
ano6,0.000322269,0.000402793,0.006901084,0.037483266,0.00040783,0.102057613,0.003958828,0,0.05988024,0.141176471
si:ch73-177h5.2,0,0,0,0,0,0,0,0,0,0.023529412
CU467633.1,0,0,0,0,0,0,0,0,0,0.076470588
FAR2,0.082823074,0.081364125,0.023989484,0.016064257,0.054241436,0.041152263,0.060174188,0.018223235,0.032934132,0.070588235
cpsf6,0.203673864,0.100228249,0.144594151,0.187416332,0.189641109,0.159670782,0.285035629,0.109339408,0.164670659,0.270588235
yeats4,0.099258782,0.022019334,0.069996714,0.080321285,0.022022838,0.085596708,0.148060174,0.020501139,0.092814371,0.111764706
kcnc2,0.019336126,0.001611171,0.001643115,0,0.002039152,0.004115226,0.093428345,0.002277904,0.001497006,0
frs2a,0.000966806,0.000268528,0.002957608,0.004016064,0.006525285,0.002469136,0.000791766,0,0.008982036,0
si:ch73-278m9.1,0.036416371,0.012150913,0.013144923,0.014725569,0.016721044,0.013168724,0.045130641,0.004555809,0.01497006,0.005882353
cmah,0,0.000201396,0,0.001338688,0.000815661,0,0,0,0,0
glipr1a,0.000322269,6.71E-05,0.000657246,0.001338688,0,0.000823045,0,0,0,0.252941176
krr1,0.035771834,0.015910311,0.047650345,0.061579652,0.026508972,0.034567901,0.07442597,0.020501139,0.053892216,0.082352941
si:ch73-89b15.3,0.000644538,0.000671321,0.000985869,0,0.000815661,0.001646091,0.003167063,0,0,0.005882353
phlda1,0.158878505,0.019334049,0.009201446,0.004016064,0.011011419,0.030452675,0.175771971,0.020501139,0.005988024,0
nap1l1,0.148565904,0.126812567,0.177456457,0.340026774,0.105628059,0.160493827,0.273159145,0.072892938,0.311377246,0.282352941
OSBPL8,0.099258782,0.054444146,0.128820243,0.030789826,0.030995106,0.041152263,0.072050673,0.01594533,0.020958084,0.047058824
zdhhc17,0.071543667,0.033163265,0.036148538,0.030789826,0.043230016,0.039506173,0.089469517,0.027334852,0.023952096,0.005882353
csrp2,0.073155011,0.014970462,0.089714098,0.348058902,0.027324633,0.569547325,0.066508314,0.009111617,0.03742515,0.005882353
e2f7,0.008701257,0.004363588,0.069996714,0.009370817,0.002854812,0.002469136,0.006334125,0,0.089820359,0.017647059
cog5,0.040928134,0.023966165,0.034834045,0.030789826,0.019575856,0.032921811,0.045922407,0.025056948,0.046407186,0.041176471
gpr22a,0.025459233,0.009264232,0.0042721,0.020080321,0.009787928,0.010699588,0.06888361,0.013667426,0,0
dus4l,0.002255881,0.002886681,0.007558331,0.009370817,0.001223491,0.008230453,0.004750594,0,0.026946108,0.041176471
bcap29,0.021914277,0.006444683,0.008215577,0.048192771,0.025693312,0.037860082,0.036421219,0.013667426,0.074850299,0.088235294
slco1c1,0.056074766,0.06471536,0.026289846,0.02811245,0.021615008,0.155555556,0.083135392,0.01594533,0.261976048,0.005882353
pde3a,0.105704157,0.047193878,0.01610253,0.024096386,0.064845024,0.025514403,0.158353127,0.029612756,0.020958084,0.005882353
aebp2,0.080244924,0.038198174,0.058494906,0.061579652,0.033849918,0.066666667,0.14330958,0.022779043,0.149700599,0.070588235
plekha5,0.316145665,0.10627014,0.317121262,0.105756359,0.203915171,0.12345679,0.240696754,0.120728929,0.065868263,0.047058824
CABZ01085700.1,0.002900419,0.000469925,0.000657246,0,0.00040783,0.001646091,0.035629454,0.002277904,0,0
fgd4b,0.001611344,0.000738453,0.000328623,0.001338688,0.000815661,0.000823045,0.028503563,0.006833713,0,0.194117647
pik3cg,0.004189494,0.000805585,0.005257969,0.029451138,0.024469821,0.023045267,0.013460016,0.002277904,0.086826347,0.311764706
nampta,0.086045762,0.024771751,0.031876438,0.048192771,0.038336052,0.036213992,0.171813143,0.013667426,0.040419162,0.070588235
sypl1,0.000966806,0.000268528,0.000328623,0.008032129,0,0,0.001583531,0,0.013473054,0
CU928083.1,0.016435707,0.005303437,0.002957608,0.001338688,0.002039152,0.004938272,0.008709422,0.004555809,0.002994012,0
atxn7l1,0.019658395,0.009801289,0.009858692,0.017402945,0.010195759,0.012345679,0.0253365,0.013667426,0,0
CU928073.1,0.000322269,6.71E-05,0.000328623,0.001338688,0,0,0,0,0,0
znf800b,0.002255881,0.000469925,0.001314492,0.020080321,0.001631321,0.009876543,0.003167063,0.002277904,0.083832335,0.052941176
grm8a,0.038672253,0.003893663,0.001971738,0.001338688,0.001631321,0.010699588,0.064133017,0.004555809,0.004491018,0
si:dkey-61f9.1,0,0,0,0,0,0,0,0,0,0
gpr37b,0.082823074,0.001879699,0.005915215,0.001338688,0.001223491,0.020576132,0.13618369,0.009111617,0.023952096,0
waslb,0.120206252,0.394803974,0.206375288,0.178045515,0.141924959,0.175308642,0.131433096,0.191343964,0.232035928,0.123529412
lmod2b,0.001289075,0.004095059,0.0042721,0,0.001631321,0,0,0.002277904,0,0
asb15b,0.000966806,0.00093985,0.000328623,0.001338688,0,0,0.001583531,0,0.001497006,0
CR293509.1,0.021269739,0.001208378,0.007558331,0.00669344,0.002446982,0.018930041,0.076801267,0.002277904,0.026946108,0.035294118
smkr1,0.000644538,0,0.000985869,0.001338688,0,0,0.000791766,0,0,0.011764706
cd9b,0.004189494,0.00093985,0.001643115,0.009370817,0.001223491,0,0.001583531,0.002277904,0.008982036,0.164705882
ano2b,0.043828553,0.00604189,0.13703582,0.002677376,0.004486134,0.009876543,0.015043547,0.006833713,0.004491018,0
CU468826.1,0,0,0,0,0,0.000823045,0,0,0,0
CU468826.3,0.000322269,0.000671321,0.001971738,0,0.00040783,0,0,0,0,0
ntf3,0.021269739,0.093045113,0.226749918,0.033467202,0.022838499,0.033744856,0.04908947,0.036446469,0.035928144,0.011764706
tbc1d30,0.038349984,0.017857143,0.043706868,0.008032129,0.014681892,0.012345679,0.088677751,0.013667426,0.019461078,0.005882353
gnsa,0.11021592,0.031283566,0.061123891,0.088353414,0.081566069,0.098765432,0.144893112,0.020501139,0.115269461,0.105882353
FP102892.1,0,0,0.001314492,0,0,0.001646091,0,0,0,0
zgc:194209,0.000322269,0.000268528,0.007558331,0.00669344,0.000815661,0.046090535,0.002375297,0.004555809,0.004491018,0.005882353
rassf3,0.000322269,0.000805585,0.029904699,0.017402945,0,0.020576132,0.001583531,0.004555809,0.00748503,0.023529412
CABZ01020840.1,0.001933613,0.001141246,0.001971738,0.017402945,0.000815661,0.001646091,0.001583531,0,0.161676647,0.288235294
DGKI,0.014824364,0.007518797,0.002300361,0.005354752,0.004486134,0.005761317,0.016627078,0,0.002994012,0
creb3l2,0.003222688,0.003625134,0.035491291,0.157965194,0.008156607,0.064197531,0.005542359,0.036446469,0.125748503,0.070588235
ssbp1,0.038672253,0.023630505,0.102859021,0.099062918,0.022430669,0.079012346,0.059382423,0.038724374,0.083832335,0.123529412
si:ch211-258f14.2,0.007734451,0.000604189,0.040749261,0.001338688,0.00040783,0.002469136,0.027711797,0.004555809,0,0.005882353
zgc:162331,0.009023526,0.011278195,0.337167269,0.016064257,0.007340946,0.013168724,0.081551861,0.123006834,0.366766467,0.005882353
slc13a4,0.007734451,0.005773362,0.009530069,0.008032129,0.004078303,0.005761317,0.007125891,0.011389522,0.491017964,0
coa6,0.173058331,0.063842642,0.244166941,0.227576975,0.050163132,0.143209877,0.234362629,0.054669704,0.226047904,0.335294118
ptprz1b,0.033838221,0.028933942,0.01610253,0.016064257,0.272022838,0.04526749,0.034837688,0.011389522,0.026946108,0
ndufa5,0.478246858,0.302900107,0.51495235,0.345381526,0.287928222,0.425514403,0.553444181,0.209567198,0.491017964,0.511764706
CU468917.1,0.008378988,0.003020945,0.003943477,0.024096386,0.001631321,0.005761317,0.022169438,0,0.005988024,0
CU468915.1,0.006445375,0.002081096,0.010515938,0.009370817,0.01141925,0.006584362,0.003958828,0.01594533,0.002994012,0.005882353
strip2,0.054141154,0.015037594,0.016431153,0.004016064,0.029363785,0.01563786,0.114806017,0.011389522,0.025449102,0
ahcyl2b,0.281662907,0.294374329,0.177127834,0.116465863,0.266721044,0.176954733,0.267616785,0.116173121,0.303892216,0.129411765
tmem209,0.003544956,0.001006982,0.005586592,0.008032129,0.002446982,0.010699588,0.003958828,0,0.016467066,0.011764706
ccnd2b,0,0.000335661,0.001314492,0.048192771,0,0.012345679,0.005542359,0,0.011976048,0.005882353
tigarb,0.009668063,0.00255102,0.008872823,0.010709505,0.003670473,0.01563786,0.028503563,0.004555809,0.023952096,0.017647059
fgf6b,0.000322269,0.000335661,0,0,0,0,0.001583531,0,0.001497006,0
fgf23,0,0,0,0,0,0,0,0,0,0
rad51ap1,0.000966806,0.000604189,0.000657246,0.002677376,0.001223491,0.000823045,0.002375297,0,0.004491018,0
galnt8b.1,0,0,0,0,0,0,0,0,0,0
ada2b,0.00257815,0.000537057,0.001643115,0.001338688,0.000815661,0,0.001583531,0,0.008982036,0.041176471
atp6v1e1b,0.61682243,0.397623523,0.497206704,0.22356091,0.44004894,0.394238683,0.701504355,0.282460137,0.591317365,0.694117647
si:ch211-214j24.14,0.001611344,0.001678303,0.005586592,0.00669344,0.004893964,0.004115226,0.002375297,0,0.130239521,0.017647059
ccdc167,0.054785691,0.02316058,0.049950707,0.050870147,0.029771615,0.056790123,0.082343626,0.009111617,0.131736527,0.141176471
snap91b,0.562036739,0.365064447,0.520210319,0.096385542,0.265497553,0.188477366,0.644497229,0.266514806,0.136227545,0.052941176
si:ch211-214j24.15,0.000644538,0,0,0,0,0,0,0,0,0
si:ch211-214j24.10,0.224943603,0.154269603,0.395333552,0.361445783,0.183931485,0.362139918,0.351543943,0.104783599,0.444610778,0.488235294
osgep,0.013857557,0.003558002,0.021689123,0.025435074,0.007748777,0.021399177,0.029295329,0,0.073353293,0.064705882
apex1,0.145987754,0.024771751,0.061781137,0.131191432,0.028955954,0.111934156,0.208234363,0.038724374,0.130239521,0.076470588
zgc:113263,0.164679343,0.060754565,0.169240881,0.095046854,0.084828711,0.23127572,0.201108472,0.070615034,0.164670659,0.123529412
si:dkey-14d8.1,0.014179826,0.006310419,0.017745646,0.009370817,0.012642741,0.005761317,0.016627078,0.002277904,0.019461078,0.005882353
selenoo2,0.000966806,0.000671321,0.005915215,0.001338688,0.00040783,0.002469136,0.001583531,0.002277904,0.248502994,0
si:dkey-14d8.20,0.001289075,0.000469925,0.003286231,0.001338688,0.00040783,0.001646091,0.002375297,0,0.28742515,0.035294118
BX324164.1,0,0,0,0,0,0,0,0,0,0
BX324164.4,0.035771834,0.012285177,0.044364114,0.064257028,0.079526917,0.02962963,0.022961203,0.038724374,0.017964072,0.023529412
BX324164.2,0,0,0,0.001338688,0,0,0,0,0,0
si:dkey-14d8.22,0.000644538,0.000335661,0.000328623,0,0.002039152,0.000823045,0,0,0.001497006,0
BX324164.3,0.02352562,0.0091971,0.028261584,0.033467202,0.007748777,0.018106996,0.022961203,0.013667426,0.026946108,0.005882353
mapk11,0.007089913,0.001074114,0.001314492,0.004016064,0.010195759,0.000823045,0.020585907,0,0,0.347058824
mapk12b,0.000322269,0.000134264,0,0,0.00040783,0,0,0,0.004491018,0.088235294
si:dkey-14d8.6,0.000966806,0,0,0,0.00040783,0,0,0,0.001497006,0.005882353
si:dkey-14d8.7,0.000644538,0,0.000657246,0,0,0,0,0,0,0
vegfab,0.003222688,0.000805585,0.0085442,0.010709505,0.001631321,0,0.011876485,0,0.086826347,0
mrps18a,0.041572672,0.014500537,0.048636214,0.038821954,0.010603589,0.035390947,0.049881235,0.020501139,0.073353293,0.1
rsph9,0.000644538,6.71E-05,0,0,0,0,0,0,0.001497006,0
tmem63a,0.00257815,0.001879699,0.009201446,0.012048193,0.007340946,0.011522634,0.003958828,0,0.020958084,0.082352941
pou3f2a,0.000966806,6.71E-05,0.000328623,0,0,0,0.009501188,0,0,0
faxca,0.065098292,0.024167562,0.007558331,0.00669344,0.03548124,0.020576132,0.101346002,0.013667426,0.008982036,0
ccnc,0.035127296,0.01711869,0.04173513,0.037483266,0.030587276,0.032098765,0.048297704,0.013667426,0.050898204,0.058823529
ngs,0.000322269,6.71E-05,0.000328623,0,0,0,0,0,0.001497006,0
pgm3,0.009023526,0.00476638,0.0042721,0.005354752,0.004486134,0.01563786,0.011084719,0,0.100299401,0.005882353
si:ch73-352p4.8,0.000322269,0.000805585,0.01610253,0.004016064,0.000815661,0.162139918,0.007125891,0.002277904,0.194610778,0
foxm1,0.000322269,0.000201396,0.000328623,0,0,0.001646091,0,0,0,0.011764706
CU571169.1,0,6.71E-05,0,0,0,0.000823045,0,0,0,0
si:ch73-352p4.5,0.000644538,0.000469925,0.000985869,0.002677376,0.000815661,0.001646091,0,0,0,0.005882353
pex26,0.013535288,0.015171858,0.050607953,0.017402945,0.008972268,0.01563786,0.016627078,0.011389522,0.071856287,0.064705882
usp18,0.001289075,0.000537057,0.001643115,0.008032129,0.00040783,0.000823045,0.000791766,0,0.00748503,0.011764706
lyrm5a,0.010634869,0.005840494,0.028590207,0.016064257,0.01223491,0.010699588,0.023752969,0.004555809,0.071856287,0.017647059
slc5a8,0.000322269,0,0.000328623,0,0,0,0,0,0,0
utp20,0.008701257,0.00443072,0.017745646,0.03480589,0.004893964,0.010699588,0.011876485,0.011389522,0.02994012,0.047058824
arl1,0.154689011,0.060351772,0.104502136,0.077643909,0.087275693,0.105349794,0.183689628,0.047835991,0.154191617,0.211764706
tfec,0.001289075,6.71E-05,0,0,0.000815661,0,0,0.002277904,0.026946108,0.147058824
MDFIC,0.002900419,0.000738453,0.000985869,0.101740295,0.00040783,0.002469136,0.002375297,0.002277904,0.100299401,0.205882353
CR356233.1,0.012568482,0.001006982,0,0.030789826,0,0.000823045,0.003167063,0.002277904,0.001497006,0
foxp2,0.127618434,0.076732009,0.035819915,0.057563588,0.084013051,0.134156379,0.228820269,0.043280182,0.062874251,0.029411765
ppp1r3aa,0.004511763,0.000268528,0.000328623,0.002677376,0.00040783,0.001646091,0.008709422,0,0,0
si:dkey-112e7.2,0.065420561,0.046254028,0.063095629,0.346720214,0.145595432,0.100411523,0.123515439,0.045558087,0.438622754,0.7
gpr85,0.39896874,0.248455961,0.072625698,0.044176707,0.248776509,0.167901235,0.365795724,0.129840547,0.100299401,0.017647059
BX950217.1,0.011601676,0.004296455,0.003286231,0,0.006525285,0.004938272,0.014251781,0.004555809,0.002994012,0.005882353
tmem168a,0.0051563,0.001208378,0.001971738,0.005354752,0.001223491,0.005761317,0.007125891,0,0.005988024,0.011764706
ifrd1,0.428295198,0.299543502,0.491291489,0.511378849,0.342577488,0.55473251,0.554235946,0.223234624,0.473053892,0.470588235
dock4b,0.067031905,0.076262084,0.058166283,0.060240964,0.050978793,0.079835391,0.060174188,0.047835991,0.303892216,0.4
CR388190.2,0.000644538,0.001208378,0.001643115,0,0.000815661,0.000823045,0.000791766,0,0.002994012,0
lrrn3b,0.023847889,0.006578947,0.002300361,0.002677376,0.005301794,0.006584362,0.019002375,0.004555809,0.001497006,0.005882353
CR354372.1,0.038027715,0.014433405,0.002300361,0.002677376,0.007748777,0.018106996,0.04354711,0.004555809,0.005988024,0
tnni4a,0.000966806,0.000402793,0.001314492,0,0.00040783,0.002469136,0.000791766,0,0,0
cald1a,0.005800838,0.003625134,0.0128163,0.40562249,0.005301794,0.09382716,0.019794141,0.002277904,0.088323353,0.017647059
tnnt2e,0.000644538,0.000134264,0,0.005354752,0,0,0.000791766,0,0,0
BX649411.2,0.016757976,0.001611171,0.022346369,0.008032129,0.017944535,0.020576132,0.019002375,0.011389522,0.04491018,0.011764706
BX649411.1,0.000966806,6.71E-05,0.001314492,0.001338688,0,0,0.004750594,0,0.020958084,0.058823529
lta4h,0.002255881,0.001006982,0.0042721,0.004016064,0,0.002469136,0.004750594,0.004555809,0.038922156,0.382352941
elk3,0.001611344,0.000805585,0.022674992,0.072289157,0.001223491,0.002469136,0.008709422,0.004555809,0.00748503,0.117647059
cdk17,0.042861747,0.071764232,0.093328952,0.032128514,0.028955954,0.044444444,0.072050673,0.025056948,0.053892216,0.041176471
phyh,0.095069288,0.082975295,0.122576405,0.074966533,0.204323002,0.18600823,0.131433096,0.061503417,0.209580838,0.1
ucmaa,0.000322269,0.000268528,0,0.021419009,0,0.000823045,0.001583531,0,0.001497006,0.005882353
mcm10,0,0.000402793,0.001971738,0.005354752,0,0.000823045,0.000791766,0,0.001497006,0.005882353
nudt5,0.038672253,0.032559076,0.038777522,0.084337349,0.079934747,0.111934156,0.088677751,0.027334852,0.19760479,0.158823529
cdc123,0.025459233,0.013292159,0.035491291,0.038821954,0.020391517,0.033744856,0.057798892,0.025056948,0.109281437,0.088235294
camk1da,0.033193684,0.033431794,0.347025961,0.010709505,0.013050571,0.040329218,0.044338876,0.029612756,0.017964072,0.023529412
ccdc3a,0.001933613,0.000335661,0.015773907,0.005354752,0.00040783,0.173662551,0.007917656,0,0.010479042,0
optn,0.053174347,0.033364662,0.094972067,0.080321285,0.046084829,0.058436214,0.078384798,0.025056948,0.270958084,0.288235294
si:ch211-240l19.8,0.000322269,0,0,0.002677376,0,0,0,0,0.010479042,0
si:ch211-240l19.7,0.000322269,0,0.000328623,0.004016064,0,0,0,0,0.01497006,0
si:ch211-240l19.6,0.000966806,0.000134264,0.000657246,0.010709505,0.00040783,0.002469136,0,0,0.023952096,0
si:ch211-240l19.5,0.003222688,0.001409774,0.001314492,0.009370817,0.001223491,0.007407407,0.002375297,0.009111617,0.026946108,0.005882353
wnk1b,0.252658717,0.188037057,0.105816628,0.354752343,0.147634584,0.226337449,0.24861441,0.118451025,0.540419162,0.258823529
CU695020.1,0,0.000134264,0,0,0,0,0,0,0,0
ninj2,0,6.71E-05,0,0.002677376,0,0.000823045,0,0,0.01497006,0
ERC1,0.157267161,0.008190118,0.062767006,0.06291834,0.025285481,0.083127572,0.044338876,0.0523918,0.086826347,0.029411765
erc1b,0.000322269,0.000134264,0.000328623,0,0,0,0,0.002277904,0,0
wnt5b,0.000322269,0.000201396,0,0.088353414,0.00040783,0,0.001583531,0.002277904,0.010479042,0
fbxl14b,0.107960039,0.021683673,0.009858692,0.074966533,0.019575856,0.065843621,0.083135392,0.01594533,0.050898204,0.035294118
adipor2,0.113760877,0.044038668,0.37364443,0.380187416,0.185970636,0.270781893,0.144101346,0.138952164,0.435628743,0.611764706
ttll12,0.00257815,0.000469925,0.003614854,0.008032129,0.001631321,0.004938272,0.007917656,0,0.020958084,0.011764706
pnpla3,0.002255881,0.000604189,0.001643115,0.013386881,0.003262643,0.012345679,0.008709422,0,0.053892216,0.023529412
sult4a1,0.256203674,0.064581096,0.028261584,0.012048193,0.132544861,0.06255144,0.469517023,0.056947608,0.031437126,0.011764706
mpped1,0.001933613,0.000537057,0,0,0.00040783,0,0.003958828,0,0,0
scube1,0.040283597,0.007048872,0.002957608,0.029451138,0.004893964,0.005761317,0.013460016,0.006833713,0.008982036,0.005882353
samm50l,0.035127296,0.007048872,0.012487677,0.010709505,0.008156607,0.04691358,0.077593032,0.011389522,0.122754491,0.011764706
aldh1l2,0.028681921,0.005437701,0.01610253,0.002677376,0.003262643,0.048559671,0.041171813,0.006833713,0.00748503,0.005882353
