Gene,Crista.SCs_spec,HCs_spec,Macula.SCs_spec
diras1b,1.0,1.0,1.0
ppm1la,0.8609523809999999,0.868852459,0.8609523809999999
si:dkey-24c2.7,1.0,1.0,1.0
klf17,1.0,1.0,1.0
cul3a,0.888253968,0.913043478,0.888253968
ftr12,0.991803279,0.991304348,0.991304348
otol1a,0.918032787,0.918032787,0.987936508
foxc1a,1.0,1.0,1.0
rreb1b,0.892063492,0.913043478,0.892063492
map2k2b,0.94984127,0.967213115,0.94984127
fam49ba,0.991803279,0.991304348,0.991304348
lamc2,0.999365079,1.0,0.999365079
glmna,0.967619048,0.947826087,0.947826087
zgc:101744,0.975409836,0.975409836,0.982608696
si:ch1073-184j22.2,0.991803279,0.982608696,0.982608696
csrnp1a,0.836065574,0.836065574,0.939130435
slc1a8b,0.999365079,0.991304348,0.991304348
basp1,0.999365079,1.0,0.999365079
sft2d3,0.983606557,0.982608696,0.982608696
ftr93,0.991803279,0.991803279,0.996190476
gorasp1a,0.977142857,0.982608696,0.977142857
slc6a9,0.976507937,0.991304348,0.976507937
cdh10a,0.999365079,1.0,0.999365079
rps8a,0.53015873,0.606557377,0.53015873
amy2a,1.0,1.0,1.0
cntnap2b,0.82031746,0.991304348,0.82031746
ccdc24,0.932698413,0.965217391,0.932698413
dnajb4,0.982222222,0.982608696,0.982222222
ifi30,0.967213115,0.967213115,0.973913043
slc25a24l,0.999365079,0.991304348,0.991304348
si:ch211-265g22.4,1.0,1.0,1.0
BX005060.1,0.997460317,0.991304348,0.991304348
pip4p1a,0.843174603,0.895652174,0.843174603
si:dkey-119f1.1,0.967213115,0.967213115,0.977142857
pias4b,0.972698413,0.991304348,0.972698413
stk25b,0.95047619,0.950819672,0.95047619
wdr33,0.8730158729999999,0.901639344,0.8730158729999999
adcy8,0.752380952,0.967213115,0.752380952
mpv17l2,0.994285714,1.0,0.994285714
elavl1a,0.82031746,0.930434783,0.82031746
BX005083.1,0.995555556,1.0,0.995555556
foxf2a,1.0,1.0,1.0
oprk1,0.998730159,1.0,0.998730159
gipc2,0.778688525,0.756521739,0.756521739
si:dkey-24c2.9,0.898412698,0.965217391,0.898412698
cdh12a,0.991803279,0.982608696,0.982608696
prkag2b,0.991803279,0.947826087,0.947826087
nmnat2,0.96,1.0,0.96
rgs13,0.999365079,0.991304348,0.991304348
foxq1a,1.0,1.0,1.0
best4,1.0,1.0,1.0
txndc12,0.959016393,0.959016393,0.961904762
rgs1,0.998730159,1.0,0.998730159
BX248089.2,0.991746032,0.982608696,0.982608696
ptprfb,0.17213114799999996,0.17213114799999996,0.252173913
si:ch211-106k21.5,0.991803279,0.991803279,1.0
smg7,0.863492063,0.930434783,0.863492063
tgfbr1a,0.86984127,0.901639344,0.86984127
CT583650.1,0.950819672,0.950819672,0.954285714
pih1d3,0.966349206,0.991304348,0.966349206
hs6st1a,0.6292063489999999,0.8278688519999999,0.6292063489999999
dusp28,0.940952381,1.0,0.940952381
BX681417.25,1.0,1.0,1.0
glis1a,0.991111111,1.0,0.991111111
cdh18a,0.918032787,0.918032787,0.99047619
pex19,0.965079365,0.982608696,0.965079365
riok1,0.943492063,0.973913043,0.943492063
asap1a,0.82031746,0.918032787,0.82031746
BX681417.24,1.0,1.0,1.0
trdj1,1.0,1.0,1.0
rgs18,0.998730159,1.0,0.998730159
trdj2,1.0,1.0,1.0
irf4a,0.998095238,1.0,0.998095238
trdc,1.0,1.0,1.0
rgs5b,0.998095238,0.965217391,0.965217391
CU694525.1,0.991803279,0.991803279,0.996825397
adcyap1r1a.1,0.996825397,0.991304348,0.991304348
tspan37,0.988571429,0.991803279,0.988571429
chmp5a,0.983606557,0.982608696,0.982608696
cahz,0.987936508,0.643478261,0.643478261
si:dkeyp-68b7.10,1.0,1.0,1.0
vav3b,0.896507937,0.965217391,0.896507937
pde4ca,0.933968254,0.942622951,0.933968254
selenot1a,0.865396825,0.87704918,0.865396825
bcl2b,0.968888889,1.0,0.968888889
ftr22,0.999365079,1.0,0.999365079
nos1apb,0.999365079,0.982608696,0.982608696
si:dkey-161l11.67,0.991803279,0.991803279,1.0
si:dkey-161l11.74,1.0,1.0,1.0
proca,0.998730159,1.0,0.998730159
sf3a2,0.947301587,0.965217391,0.947301587
proca.1,1.0,1.0,1.0
