Gene,Late RPCs,Photoreceptor Precursor,RGC,Early RPCs,Amacrine,Muller Glia,Horizontal,Bipolar,Photoreceptor
bhlhe22_lmo4b,0.028732106,0.021276596,0.062111801,0.016141313,0.20242608,0.011210762,0.055555556,0.029804728,0.005328597
bhlhe22_gad2,0.007873211,0.002503129,0.031055901,0.000304553,0.170962851,0.002242152,0.037037037,0.003083248,0.001776199
bhlhe22_kctd15a,0.003067485,0,0.019409938,0.000304553,0.089082638,0.002242152,0.016203704,0.002569373,0
bhlhe22_dtnbp1b,0.000204499,0,0.016304348,0.000304553,0.064821835,0,0.002314815,0,0
bhlhe22_prdm13,0.005521472,0.006257822,0.013975155,0.00045683,0.06974981,0,0.020833333,0.005138746,0
bhlhe22_rims2a,0.001226994,0.002503129,0.026397516,0,0.103866566,0,0.025462963,0.002569373,0
bhlhe22_kcnab1b,0.000511247,0,0.008540373,0.000913659,0.042077331,0.002242152,0.002314815,0.001541624,0
bhlhe22_slc18a3a,0.000102249,0,0.007763975,0.000152277,0.055344958,0.002242152,0.009259259,0.001027749,0
pax10_tiam1a,0.001022495,0,0.052795031,0.001065936,0.115238817,0.002242152,0.016203704,0.001541624,0.003552398
pax10_tfap2e,0.000613497,0.001251564,0.013198758,0.001065936,0.075435936,0,0.006944444,0.000513875,0.001776199
pax10_pvalb6,0.000102249,0.001251564,0.044254658,0,0.090978014,0.004484305,0.00462963,0.000513875,0.001776199
pax10_slc6a1a,0,0,0.034937888,0,0.077710387,0,0.00462963,0,0
pax10_srrm4,0.002760736,0.005006258,0.025621118,0.000152277,0.09742229,0,0.006944444,0.002055498,0
meis2a_pax10,0.004192229,0.003754693,0.119565217,0.001979595,0.251326763,0.002242152,0.018518519,0.003083248,0.005328597
gbx2_pax10,0.001022495,0.002503129,0.010093168,0.000304553,0.06899166,0,0.009259259,0.001027749,0.003552398
pax10_tspan18b,0.003885481,0.003754693,0.048913043,0.004111466,0.129643669,0.004484305,0.00462963,0.004110997,0.003552398
chgb_pax10,0.000204499,0,0.004658385,0.000152277,0.061789234,0.002242152,0.00462963,0,0
dtnbp1a_pax10,0.000715746,0.002503129,0.047360248,0.003806913,0.076952237,0,0,0,0
lmo4b_pax10,0.002658487,0.007509387,0.077639752,0.013248058,0.178544352,0.004484305,0.018518519,0.003083248,0.003552398
gad2_pax10,0.001226994,0,0.036490683,0.000609106,0.178544352,0.004484305,0.011574074,0.003083248,0.001776199
kctd15a_pax10,0.001329243,0.002503129,0.029503106,0.000304553,0.090598939,0,0.009259259,0.003083248,0
dtnbp1b_pax10,0,0,0.020962733,0.000152277,0.060652009,0,0.002314815,0,0
pax10_prdm13,0.001022495,0.001251564,0.011645963,0,0.043972707,0.002242152,0.009259259,0.001027749,0
pax10_rims2a,0.000204499,0,0.043478261,0,0.083775588,0,0.009259259,0,0
kcnab1b_pax10,0,0,0.016304348,0.00045683,0.040181956,0,0.002314815,0,0
pax10_slc18a3a,0.000102249,0,0.019409938,0.000152277,0.042077331,0.002242152,0,0,0
tfap2e_tiam1a,0.000511247,0,0.01242236,0.000304553,0.037528431,0,0.00462963,0.001027749,0.001776199
pvalb6_tiam1a,0,0,0.042701863,0,0.109552691,0.00896861,0.016203704,0.001541624,0.001776199
slc6a1a_tiam1a,0,0,0.02484472,0,0.051933283,0.002242152,0.00462963,0,0
srrm4_tiam1a,0.004907975,0,0.025621118,0.000761383,0.079984837,0.004484305,0.006944444,0.001027749,0.001776199
meis2a_tiam1a,0.003169734,0.001251564,0.055900621,0.001065936,0.113343442,0.006726457,0.016203704,0.001541624,0.003552398
gbx2_tiam1a,0.000511247,0,0.007763975,0.000761383,0.038286581,0,0.006944444,0.000513875,0.001776199
tiam1a_tspan18b,0.00408998,0.002503129,0.045031056,0.003350084,0.082259287,0.011210762,0.006944444,0.001541624,0.003552398
chgb_tiam1a,0.000102249,0,0.004658385,0.000152277,0.038665656,0.002242152,0.002314815,0,0
dtnbp1a_tiam1a,0.001533742,0,0.032608696,0.005634232,0.064063685,0.00896861,0.00462963,0.001027749,0
lmo4b_tiam1a,0.005316973,0.006257822,0.061335404,0.007309274,0.103866566,0.00896861,0.030092593,0.004624872,0.003552398
gad2_tiam1a,0.000511247,0,0.031832298,0,0.091357089,0.002242152,0.018518519,0.001541624,0.001776199
kctd15a_tiam1a,0.000920245,0,0.02484472,0.000304553,0.06368461,0.002242152,0.013888889,0.001541624,0
dtnbp1b_tiam1a,0,0,0.02173913,0,0.034116755,0,0.009259259,0,0
prdm13_tiam1a,0.001431493,0,0.010093168,0,0.043593632,0.002242152,0.016203704,0.000513875,0
rims2a_tiam1a,0.000408998,0,0.034937888,0.000152277,0.070128886,0.004484305,0.013888889,0.001027749,0
kcnab1b_tiam1a,0,0,0.01552795,0.000304553,0.025018954,0.002242152,0,0.000513875,0
slc18a3a_tiam1a,0.000102249,0,0.02484472,0,0.054207733,0.004484305,0.009259259,0,0
pvalb6_tfap2e,0.000102249,0,0.010093168,0,0.049279757,0,0.00462963,0,0.001776199
slc6a1a_tfap2e,0.000102249,0,0.014751553,0.000152277,0.06823351,0,0.00462963,0,0
srrm4_tfap2e,0.001635992,0,0.017080745,0.00045683,0.044730857,0,0,0.001027749,0
meis2a_tfap2e,0.000511247,0.001251564,0.017080745,0,0.076952237,0,0.00462963,0,0.001776199
gbx2_tfap2e,0.000306748,0.001251564,0.006987578,0.000152277,0.020849128,0,0.002314815,0,0
tfap2e_tspan18b,0.001124744,0,0.017080745,0.000304553,0.046626232,0,0,0.002055498,0
chgb_tfap2e,0,0,0.00310559,0,0.012888552,0,0,0,0
dtnbp1a_tfap2e,0.000511247,0,0.014751553,0.000761383,0.040181956,0.002242152,0.002314815,0.000513875,0
lmo4b_tfap2e,0.00204499,0.003754693,0.017857143,0.001522765,0.094389689,0.002242152,0.011574074,0.004110997,0.001776199
gad2_tfap2e,0.000715746,0,0.022515528,0.000152277,0.095147839,0.002242152,0.006944444,0.001027749,0
kctd15a_tfap2e,0.000715746,0,0.017080745,0,0.041698256,0,0.002314815,0.000513875,0
dtnbp1b_tfap2e,0.000102249,0,0.00931677,0,0.037149356,0,0.002314815,0,0
prdm13_tfap2e,0.000306748,0,0.007763975,0.000152277,0.010235027,0,0.002314815,0,0
rims2a_tfap2e,0.000306748,0,0.013975155,0,0.043214556,0,0.006944444,0,0
kcnab1b_tfap2e,0,0,0.007763975,0.000152277,0.024260804,0,0,0,0
slc18a3a_tfap2e,0,0,0.00310559,0.000152277,0.011372252,0,0.002314815,0,0
pvalb6_slc6a1a,0.000102249,0,0.045031056,0,0.077331312,0.002242152,0.009259259,0,0.001776199
pvalb6_srrm4,0.000204499,0.005006258,0.027950311,0,0.087566338,0,0.011574074,0.000513875,0
meis2a_pvalb6,0,0.002503129,0.058229814,0.000304553,0.108415466,0.00896861,0.006944444,0.000513875,0.001776199
gbx2_pvalb6,0,0,0.005434783,0,0.034116755,0,0.002314815,0.000513875,0
pvalb6_tspan18b,0.000408998,0.002503129,0.027950311,0.000152277,0.06671721,0.011210762,0.002314815,0.000513875,0
chgb_pvalb6,0,0,0.005434783,0,0.054965883,0.002242152,0,0,0
dtnbp1a_pvalb6,0.000204499,0.001251564,0.033385093,0.000304553,0.079226687,0.00896861,0.011574074,0.001027749,0.001776199
lmo4b_pvalb6,0.000102249,0.003754693,0.052795031,0.00045683,0.100833965,0.006726457,0.034722222,0.004110997,0.003552398
gad2_pvalb6,0.000102249,0.002503129,0.032608696,0,0.092873389,0.006726457,0.018518519,0.000513875,0.001776199
kctd15a_pvalb6,0.000102249,0,0.020962733,0.000304553,0.044351782,0,0.011574074,0.000513875,0
dtnbp1b_pvalb6,0.000102249,0,0.034161491,0,0.058377559,0,0.009259259,0,0
prdm13_pvalb6,0,0,0.007763975,0,0.026156179,0.002242152,0.006944444,0.000513875,0
pvalb6_rims2a,0.000102249,0.001251564,0.047360248,0,0.097801365,0.002242152,0.006944444,0.000513875,0.003552398
kcnab1b_pvalb6,0,0,0.026397516,0,0.048521607,0.002242152,0.00462963,0,0
pvalb6_slc18a3a,0,0,0.044254658,0,0.080742987,0.004484305,0.025462963,0,0.003552398
slc6a1a_srrm4,0.000204499,0,0.026397516,0,0.06520091,0,0.002314815,0,0
meis2a_slc6a1a,0,0.001251564,0.045031056,0,0.090978014,0.002242152,0.00462963,0,0
gbx2_slc6a1a,0,0,0.008540373,0,0.027293404,0,0.002314815,0,0
slc6a1a_tspan18b,0.000204499,0.001251564,0.02173913,0.000152277,0.043593632,0,0,0,0
chgb_slc6a1a,0,0,0.002329193,0,0.017058378,0,0,0,0
dtnbp1a_slc6a1a,0.000102249,0,0.029503106,0.000152277,0.059135709,0.002242152,0,0,0.001776199
lmo4b_slc6a1a,0.000511247,0.001251564,0.041925466,0.000152277,0.085291888,0,0.006944444,0.000513875,0
gad2_slc6a1a,0.000204499,0.001251564,0.038819876,0.000152277,0.130022745,0,0.009259259,0,0
kctd15a_slc6a1a,0.000102249,0,0.01552795,0,0.037528431,0,0.002314815,0,0
dtnbp1b_slc6a1a,0.000102249,0,0.022515528,0,0.059893859,0,0.002314815,0,0
prdm13_slc6a1a,0,0.001251564,0.006987578,0,0.015542077,0,0.002314815,0,0
rims2a_slc6a1a,0.000102249,0,0.038043478,0,0.06520091,0,0.00462963,0,0.001776199
kcnab1b_slc6a1a,0,0,0.019409938,0,0.045109932,0,0,0,0
slc18a3a_slc6a1a,0,0,0.023291925,0,0.020090978,0.002242152,0.002314815,0,0.001776199
meis2a_srrm4,0.007055215,0.006257822,0.045031056,0.002131871,0.112585292,0,0.006944444,0.004624872,0
gbx2_srrm4,0.001226994,0.002503129,0.00931677,0.000152277,0.029567854,0,0.00462963,0.002569373,0
srrm4_tspan18b,0.020143149,0.013767209,0.027950311,0.002740978,0.062926459,0.00896861,0.00462963,0.021068859,0.001776199
