Gene,Crista.SCs,HCs,Macula.SCs,max,maxcol
rnf144ab,0.017391304,0.001269841,0.032786885,0.032786885,Macula.SCs
C20H12orf57,0.017391304,0.024761905,0.016393443,0.024761905,HCs
slc35f1,0.365217391,0.012063492,0.131147541,0.365217391,Crista.SCs
serpinb1,0,0.008888889,0.008196721,0.008888889,HCs
si:dkey-63j12.4,0,0,0,0,Crista.SCs
BX510992.1,0.026086957,0.053968254,0.016393443,0.053968254,HCs
sox11b,0.017391304,0.006349206,0.024590164,0.024590164,Macula.SCs
igfbp3,0.382608696,0.016507937,0.37704918,0.382608696,Crista.SCs
BX248324.1,0.008695652,0.008253968,0,0.008695652,Crista.SCs
si:dkeyp-72h1.1,0.008695652,0.074920635,0.008196721,0.074920635,HCs
si:dkey-69c1.1,0.008695652,0,0,0.008695652,Crista.SCs
kifap3a,0.095652174,0.13015873,0.049180328,0.13015873,HCs
akirin2,0.026086957,0.023492063,0.008196721,0.026086957,Crista.SCs
igfbp1a,0.113043478,0.006349206,0.147540984,0.147540984,Macula.SCs
nus1,0.069565217,0.050793651,0.016393443,0.069565217,Crista.SCs
ddx1,0.017391304,0.040634921,0.024590164,0.040634921,HCs
cgrrf1,0,0.028571429,0.024590164,0.028571429,HCs
allc,0.043478261,0.026031746,0.06557377,0.06557377,Macula.SCs
ftr97,0,0.006984127,0,0.006984127,HCs
psmc6,0.017391304,0.068571429,0.016393443,0.068571429,HCs
gopc,0.043478261,0.076825397,0.081967213,0.081967213,Macula.SCs
mettl11b,0,0,0,0,Crista.SCs
brf1b,0.069565217,0.203809524,0.114754098,0.203809524,HCs
btbd6b,0,0.102222222,0.024590164,0.102222222,HCs
cnr1,0,0.024126984,0,0.024126984,HCs
adcy1a,0.017391304,0.006349206,0.008196721,0.017391304,Crista.SCs
gorab,0.026086957,0.016507937,0,0.026086957,Crista.SCs
prrx1b,0,0,0,0,Crista.SCs
mycn,0,0.003174603,0.016393443,0.016393443,Macula.SCs
max,0.104347826,0.105396825,0.057377049,0.105396825,HCs
dcbld1,0.208695652,0.028571429,0.131147541,0.208695652,Crista.SCs
sirt5,0.017391304,0.027936508,0.008196721,0.027936508,HCs
scrn2,0.034782609,0.025396825,0.016393443,0.034782609,Crista.SCs
