Gene,Amacrine_spec,Bipolar_spec,Cone_spec,Cornea_spec,Horizontal_spec,Muller Glia_spec,RGC_spec,Rod_spec,RPE_spec,Microglia_spec
si:dkey-234d14.2,0.9999329,1.0,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329,0.9999329
chrna6,0.6152019,0.6152019,0.6152019,0.6152019,0.6152019,0.6152019,0.910179641,0.6152019,0.6152019,0.6152019
chrnb5a,0.888361045,0.888361045,0.888361045,0.888361045,0.888361045,0.888361045,0.978730261,0.888361045,0.888361045,0.888361045
uchl1,0.632620744,0.632620744,0.632620744,0.632620744,0.632620744,0.632620744,0.953909465,0.632620744,0.632620744,0.632620744
anxa5b,0.93708166,0.93708166,0.93708166,0.952941176,0.93708166,0.93708166,0.93708166,0.93708166,0.93708166,0.93708166
FP245458.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fgfbp1b,0.997530864,0.997530864,0.997530864,0.997530864,0.997530864,0.999208234,0.997530864,0.997530864,0.997530864,0.997530864
fgfbp2b,0.970548862,0.970548862,0.970548862,0.996832937,0.970548862,0.970548862,0.970548862,0.970548862,0.970548862,0.970548862
zmynd10,0.996832937,0.996832937,0.996832937,0.996832937,0.996832937,0.996832937,0.997322624,0.996832937,0.996832937,0.996832937
prom1b,0.27111403199999995,0.27111403199999995,0.5671981779999999,0.27111403199999995,0.27111403199999995,0.27111403199999995,0.27111403199999995,0.27111403199999995,0.27111403199999995,0.27111403199999995
tapt1b,0.711468945,0.711468945,0.757719715,0.711468945,0.711468945,0.711468945,0.711468945,0.711468945,0.711468945,0.711468945
ldb2b,0.897070467,0.875281985,0.875281985,0.875281985,0.875281985,0.875281985,0.875281985,0.875281985,0.875281985,0.875281985
qdprb1,0.905688623,0.905688623,0.905688623,0.905688623,0.905688623,0.905688623,0.905688623,0.905688623,0.933333333,0.905688623
gtf2e2,0.741176471,0.741176471,0.741176471,0.741176471,0.741176471,0.741176471,0.741176471,0.741176471,0.741176471,0.769461078
SMIM18,0.657957245,0.657957245,0.657957245,0.657957245,0.657957245,0.657957245,0.80567193,0.657957245,0.657957245,0.657957245
adgrl3.1,0.709422011,0.709422011,0.709422011,0.709422011,0.709422011,0.709422011,0.7225265869999999,0.709422011,0.709422011,0.709422011
si:dkey-92j12.5,0.49260598099999997,0.49260598099999997,0.756264237,0.49260598099999997,0.49260598099999997,0.49260598099999997,0.49260598099999997,0.49260598099999997,0.49260598099999997,0.49260598099999997
rfc1,0.916864608,0.916864608,0.916864608,0.916864608,0.916864608,0.916864608,0.920473217,0.916864608,0.916864608,0.916864608
rpl9,0.052208834999999953,0.052208834999999953,0.052208834999999953,0.070588235,0.052208834999999953,0.052208834999999953,0.052208834999999953,0.052208834999999953,0.052208834999999953,0.052208834999999953
lias,0.887724551,0.887724551,0.887724551,0.887724551,0.887724551,0.887724551,0.887724551,0.887724551,0.904526749,0.887724551
ugdh,0.7964071859999999,0.7964071859999999,0.7964071859999999,0.7964071859999999,0.7964071859999999,0.7964071859999999,0.7964071859999999,0.7964071859999999,0.93038822,0.7964071859999999
smim14,0.928143713,0.928143713,0.928143713,0.928143713,0.928143713,0.928143713,0.928143713,0.928143713,0.958823529,0.928143713
ube2kb,0.794117647,0.794117647,0.794117647,0.794117647,0.794117647,0.794117647,0.794117647,0.794117647,0.794117647,0.846397466
pds5a,0.829411765,0.829411765,0.829411765,0.829411765,0.829411765,0.829411765,0.829411765,0.829411765,0.829411765,0.8742514969999999
n4bp2,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.947058824,0.956586826
rhoh,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,0.994117647,1.0
chrna9,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,0.999208234,1.0,0.999208234,0.999208234,0.999208234
si:dkeyp-26a9.2,0.997322624,0.997322624,0.997322624,0.998356885,0.997322624,0.997322624,0.997322624,0.997322624,0.997322624,0.997322624
fam184b,0.754552652,0.754552652,0.754552652,0.754552652,0.754552652,0.754552652,0.906864325,0.754552652,0.754552652,0.754552652
